canonical_smiles,standard_value
[H]c1c([H])c(-c2c([H])c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])c([H])c2[H])c([H])c(N([H])[H])c1[H],1.0
[H]c1nc(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C2([H])[H])nc([H])c1[H],0.0
[H]c1c([H])c([H])c(C(=O)Oc2c([H])c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])c([H])c2[H])c([H])c1[H],1.0
[H]c1nc(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1[H],1.0
[H]c1c([H])c(-c2c([H])c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])c([H])c2[H])c([H])c([H])c1OC([H])([H])[H],1.0
[H]c1nc([H])nc(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])n1,1.0
[H]c1c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n2c3c(c(=O)n([H])c2=O)C([H])([H])SC([H])([H])C3([H])[H])c([H])c([H])c1Br,1.0
[H]c1c([H])c([H])c(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]c1c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n2c3c(c(=O)n([H])c2=O)C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c([H])c1OC([H])([H])[H],1.0
[H]c1nc([H])c([H])c(-c2c([H])c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])c([H])c2[H])c1[H],1.0
[H]c1c([H])c([H])c(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]c1c([H])c([H])c(-c2c([H])c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])c([H])c2[H])c([H])c1[H],1.0
[H]C1=C([H])C([H])([H])C([H])([H])c2c(c(=O)n([H])c(=O)n2C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])N(c3nc([H])c([H])c([H])n3)C([H])([H])C2([H])[H])C1([H])[H],1.0
[H]c1nc(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])c([H])c(C(F)(F)F)c1[H],1.0
[H]c1nc(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])nc([H])c1[H],1.0
[H]c1c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n2c3c(c(=O)n([H])c2=O)C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c([H])c1Br,1.0
[H]c1c([H])c(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1OC([H])([H])[H],1.0
[H]c1c([H])c(Br)c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n2c3c(c(=O)n([H])c2=O)C([H])([H])SC([H])([H])C3([H])[H])c1[H],0.0
[H]c1nnc(-c2c([H])c([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n3c4c(c(=O)n([H])c3=O)C([H])([H])SC([H])([H])C4([H])[H])c([H])c2[H])c([H])c1[H],1.0
