canonical_smiles,standard_value
[H]Oc1nc(-c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])nc2c1C([H])([H])SC([H])([H])C2([H])[H],1.0
[H]C1=C([H])[C@@]2([H])C([H])([H])[C@@]1([H])[C@]1([H])C(=O)N(c3c([H])c([H])c(C(=O)N([H])c4c([H])c([H])c([H])c5c([H])c([H])c([H])nc45)c([H])c3[H])C(=O)[C@@]12[H],1.0
[H]c1nc([H])c([H])c(-c2nnc(SC([H])([H])c3nc(-c4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])no3)n2-c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c1[H],1.0
[H]c1c([H])c([H])c(-n2c(SC([H])([H])c3nc(-c4c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])no3)nnc2C([H])([H])[H])c([H])c1[H],1.0
[H]c1c([H])c(-n2c(SC([H])([H])c3nc(-c4c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])no3)nnc2C([H])([H])[H])c([H])c([H])c1OC([H])([H])[H],1.0
[H]c1c([H])c(-n2c(SC([H])([H])c3nc(-c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])no3)nnc2C([H])([H])[H])c([H])c(C([H])([H])[H])c1[H],1.0
[H]c1c([H])c(-n2c(SC([H])([H])c3nc(-c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])no3)nnc2C([H])([H])[H])c([H])c([H])c1F,1.0
[H]c1c([H])c(-n2c(SC([H])([H])c3nc(-c4c([H])c([H])c(Cl)c([H])c4[H])no3)nnc2C([H])([H])[H])c([H])c([H])c1F,1.0
[H]c1c([H])c(-n2c(SC([H])([H])c3nc(-c4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])no3)nnc2C([H])([H])[H])c([H])c([H])c1F,0.0
[H]c1nc([H])c([H])c(-c2nnc(SC([H])([H])c3nc(-c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])no3)n2-c2c([H])c([H])c([H])c([H])c2[H])c1[H],1.0
[H]c1nc([H])c([H])c(-c2nnc(SC([H])([H])c3nc(-c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])no3)n2-c2c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c2[H])c1[H],0.0
[H]c1nc([H])c([H])c(-c2nnc(SC([H])([H])c3nc(-c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])no3)n2-c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c1[H],0.0
[H]c1nc([H])c([H])c(-c2nnc(SC([H])([H])c3nc(-c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])no3)n2-c2c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c2[H])c1[H],1.0
[H]c1nc([H])c([H])c(-c2nnc(SC([H])([H])c3nc(-c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])no3)n2-c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c1[H],1.0
[H]c1nc([H])c([H])c(-c2nnc(SC([H])([H])c3nc(-c4c([H])c([H])c([H])c([H])c4[H])no3)n2-c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c1[H],0.0
[H]c1nc([H])c([H])c(-c2nnc(SC([H])([H])c3nc(-c4c([H])c([H])c([H])c([H])c4[H])no3)n2-c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c1[H],1.0
[H]C1=C([H])[C@@]2([H])C([H])([H])[C@]1([H])[C@@]1([H])C(=O)N(c3c([H])c([H])c(C(=O)N([H])c4c([H])c([H])c([H])c5c([H])c([H])c([H])nc45)c([H])c3[H])C(=O)[C@@]21[H],1.0
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])c3nc4c([H])c([H])c([H])c([H])c4c(=O)n3[H])c([H])c2[H])c(OC([H])([H])[H])c1[H],1.0
[H]C1=C([H])[C@@]2([H])C([H])([H])[C@]1([H])[C@@]1([H])C(=O)N(c3c([H])c([H])c(C(=O)N([H])c4c([H])c([H])c([H])c5c(C([H])([H])[H])c([H])c([H])nc45)c([H])c3[H])C(=O)[C@@]21[H],1.0
[H]/C(=C(/[H])c1nnc(-c2nc([H])c(S(=O)(=O)C([H])([H])[H])c([H])c2[H])n1-c1c([H])c([H])c([H])c([H])c1Cl)c1nnc(-c2c([H])c([H])c(C#N)c([H])c2[H])o1,1.0
[H]/C(=C(/[H])c1nnc(-c2nc([H])c(S(=O)(=O)C([H])([H])[H])c([H])c2[H])n1-c1c([H])c([H])c([H])c([H])c1Cl)c1nnc(-c2c([H])c([H])nc(OC([H])([H])[H])c2[H])o1,1.0
[H]Oc1nc([H])c([H])c(-c2nnc(/C([H])=C(\[H])c3nnc(-c4c([H])c([H])c(F)c([H])c4[H])n3-c3c([H])c([H])c([H])c([H])c3Cl)o2)c1[H],0.0
[H]c1nc(-c2nnc(SC([H])([H])c3nnc(-c4c([H])c([H])c(Cl)c([H])c4[H])o3)n2-c2c([H])c([H])c([H])c([H])c2Cl)c([H])c([H])c1S(=O)(=O)C([H])([H])[H],1.0
[H]c1nc([H])c([H])c(-c2nnc(C([H])([H])C([H])([H])c3nnc(-c4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])o3)n2-c2c([H])c([H])c([H])c([H])c2Cl)c1[H],1.0
[H]c1nc([H])c([H])c(-c2nnc(SC([H])([H])c3nc4c([H])c(C([H])([H])[H])c(C([H])([H])[H])c([H])n4c(=O)c3[H])n2-c2c([H])c([H])c([H])c([H])c2Cl)c1[H],0.0
[H]c1nc([H])c([H])c(-c2nnc(SC([H])([H])c3nnc(-c4c([H])c([H])c(C#N)c([H])c4[H])o3)n2-c2c([H])c([H])c([H])c([H])c2Cl)c1[H],1.0
[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1-c1oc2c([H])c([H])c([H])c([H])c2c(=O)c1[H],1.0
[H]c1c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c([H])c1F,0.0
[H]Oc1c([H])c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c1O[H],1.0
[H]Oc1c([H])c([H])c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c1[H],1.0
[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c([H])c3c(=O)c2[H])c([H])c1O[H],1.0
[H]Oc1c([H])c([H])c2c(=O)c([H])c(-c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])oc2c1[H],1.0
[H]Oc1c([H])c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c([H])c3c(=O)c2[H])c1[H],1.0
[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2[H])c([H])c1O[H],0.0
[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2[H])c([H])c1[H],0.0
[H]c1c([H])c([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c(=O)c2[H])c([H])c1[H],1.0
