canonical_smiles,standard_value
[H]c1c([H])c(C([H])([H])c2nn([H])c(=O)c3c([H])c([H])c([H])c([H])c23)c([H])c(C(=O)N2C([H])([H])C([H])([H])N(C(=O)C3([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c1F,1.0
[H]c1c2c(c3c(C([H])([H])C([H])([H])N([H])C(=O)N4C([H])([H])C([H])([H])N([H])C([H])([H])C4([H])[H])c([H])n([H])c3c1[H])C([H])([H])C([H])([H])N([H])C2=O,1.0
[H]c1c2c(c3c(C([H])([H])C([H])([H])N([H])C(=O)N4C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C4([H])[H])c([H])n([H])c3c1[H])C([H])([H])C([H])([H])N([H])C2=O,1.0
[H]c1nc([H])c(C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])c3c([H])c([H])c([H])c4c3C2([H])C([H])([H])N([H])C4=O)nc1[H],1.0
[H]c1c([H])c([C@@]2([H])C([H])([H])N([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1-n1nc2c(C(=O)N([H])[H])c([H])c([H])c([H])c2c1[H],1.0
[H]C1=C(c2c([H])c([H])c(F)c([H])c2[H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])c2nc3c(Cl)c([H])c([H])c([H])c3c(=O)n2[H])C1([H])[H],1.0
[H]c1nc2c([H])c([H])c([H])c(C(=O)N([H])[H])c2nc1-c1c([H])c([H])c(C#N)c([H])c1[H],1.0
[H]Oc1nc(-c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])nc2c1C([H])([H])SC([H])([H])C2([H])[H],1.0
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])c3nc4c([H])c([H])c([H])c([H])c4c(=O)n3[H])c([H])c2[H])c(OC([H])([H])[H])c1[H],1.0
[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1-c1nc2c(c(=O)n1[H])C([H])([H])C([H])([H])SC2([H])[H],1.0
[H]c1nc(N2C([H])([H])C([H])([H])N(C(=O)c3c([H])c([H])c([H])c(C([H])([H])c4nn([H])c(=O)c5c([H])c([H])c([H])c([H])c45)c3[H])C([H])([H])C2([H])[H])c(C#N)c([H])c1[H],1.0
[H]Oc1nc(-c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])nc2c(OC([H])([H])[H])c([H])c([H])c([H])c12,1.0
[H]c1c([H])c(-c2nc3c(OC([H])([H])[H])c([H])c([H])c([H])c3c(=O)n2[H])c([H])c([H])c1Br,1.0
[H]c1c([H])c(-c2nc3c(C([H])([H])[H])c([H])c([H])c([H])c3c(=O)n2[H])c([H])c([H])c1F,1.0
[H]c1c([H])c(C(=O)C2([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])C([H])([H])c3nc4c(c(=O)n3[H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1OC([H])([H])[H],1.0
[H]c1c([H])c(C(=O)C2([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])C([H])([H])c3nc4c(c(=O)n3[H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1F,1.0
[H]c1c([H])c(C(=O)C2([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])C([H])([H])c3nc4c(c(=O)n3[H])C([H])([H])OC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1OC([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],1.0
[H]c1c([H])c(C(=O)C2([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])C([H])([H])c3nc4c(c(=O)n3[H])C([H])([H])OC([H])([H])C4([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1OC([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],1.0
